Result,Move_ply_1,Move_ply_2,Move_ply_3,Move_ply_4,Move_ply_5,Move_ply_6,Move_ply_7,Move_ply_8,Move_ply_9,Move_ply_10,Move_ply_11,Move_ply_12,Move_ply_13,Move_ply_14,Move_ply_15,Move_ply_16,Move_ply_17,Move_ply_18,Move_ply_19,Move_ply_20,Move_ply_21,Move_ply_22,Move_ply_23,Move_ply_24,Move_ply_25,Move_ply_26,Move_ply_27,Move_ply_28,Move_ply_29,Move_ply_30,Move_ply_31,Move_ply_32,Move_ply_33,Move_ply_34,Move_ply_35,Move_ply_36,Move_ply_37,Move_ply_38,Move_ply_39,Move_ply_40,Move_ply_41,Move_ply_42,Move_ply_43,Move_ply_44,Move_ply_45,Move_ply_46,Move_ply_47,Move_ply_48,Move_ply_49,Move_ply_50,Move_ply_51,Move_ply_52,Move_ply_53,Move_ply_54,Move_ply_55,Move_ply_56,Move_ply_57,Move_ply_58,Move_ply_59,Move_ply_60,Move_ply_61,Move_ply_62,Move_ply_63,Move_ply_64,Move_ply_65,Move_ply_66,Move_ply_67,Move_ply_68,Move_ply_69,Move_ply_70,Move_ply_71,Move_ply_72,Move_ply_73,Move_ply_74,Move_ply_75,Move_ply_76,Move_ply_77,Move_ply_78,Move_ply_79,Move_ply_80,Move_ply_81,Move_ply_82,Move_ply_83,Move_ply_84,Move_ply_85,Move_ply_86,Move_ply_87,Move_ply_88,Move_ply_89,Move_ply_90,Move_ply_91,Move_ply_92,Move_ply_93,Move_ply_94,Move_ply_95,Move_ply_96,Move_ply_97,Move_ply_98,Move_ply_99,Move_ply_100,Move_ply_101,Move_ply_102,Move_ply_103,Move_ply_104,Move_ply_105,Move_ply_106,Move_ply_107,Move_ply_108,Move_ply_109,Move_ply_110,Move_ply_111,Move_ply_112,Move_ply_113,Move_ply_114,Move_ply_115,Move_ply_116,Move_ply_117,Move_ply_118,Move_ply_119,Move_ply_120,Move_ply_121,Move_ply_122,Move_ply_123,Move_ply_124,Move_ply_125,Move_ply_126,Move_ply_127,Move_ply_128,Move_ply_129,Move_ply_130,Move_ply_131,Move_ply_132,Move_ply_133,Move_ply_134,Move_ply_135,Move_ply_136,Move_ply_137,Move_ply_138,Move_ply_139,Move_ply_140,Move_ply_141,Move_ply_142,Move_ply_143,Move_ply_144,Move_ply_145,Move_ply_146,Move_ply_147,Move_ply_148,Move_ply_149,Move_ply_150,Move_ply_151,Move_ply_152,Move_ply_153,Move_ply_154,Move_ply_155,Move_ply_156,Move_ply_157,Move_ply_158,Move_ply_159,Move_ply_160,Move_ply_161,Move_ply_162,Move_ply_163,Move_ply_164,Move_ply_165,Move_ply_166,Move_ply_167,Move_ply_168,Move_ply_169,Move_ply_170,Move_ply_171,Move_ply_172,Move_ply_173,Move_ply_174,Move_ply_175,Move_ply_176,Move_ply_177,Move_ply_178,Move_ply_179,Move_ply_180,Move_ply_181,Move_ply_182,Move_ply_183,Move_ply_184,Move_ply_185,Move_ply_186,Move_ply_187,Move_ply_188,Move_ply_189,Move_ply_190,Move_ply_191,Move_ply_192,Move_ply_193,Move_ply_194,Move_ply_195,Move_ply_196,Move_ply_197,Move_ply_198,Move_ply_199,Move_ply_200
1-0,c4,c5,Nf3,Nc6,b3,g6,e3,Bg7,d4,cxd4,Bb2,Nf6,exd4,Ne4,Bd3,f5,O-O,e6,Re1,O-O,Nbd2,Nxd2,Qxd2,b6,d5,exd5,Bxg7,Kxg7,cxd5,Na5,Qc3+,Rf6,d6,Bb7,Re7+,Kh6,Qxf6,Bxf3,Qg5+,Kxg5,h4+,Kxh4,gxf3,g5,Rxh7#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,b3,d6,Bb2,Nd7,e4,e5,Nf3,c6,d4,Qc7,d5,Ngf6,dxc6,bxc6,Nbd2,a5,a4,Be7,Bd3,h6,O-O,g5,h3,g4,hxg4,Nxg4,Nd4,Ndf6,Nf5,Bxf5,exf5,d5,Be2,h5,Nf3,e4,Nd4,Qh2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,b3,d5,Bb2,e5,Na3,Nf6,d3,Nc6,Qd2,Bb4,c3,d4,O-O-O,dxc3,Bxc3,Bxa3+,Bb2,Bxb2+,Kxb2,Ne4,Qe3,Nf6,d4,Nxd4,Rxd4,Qxd4+,Qxd4,exd4,e3,dxe3,fxe3,O-O,Bc4,Be6,Bxe6,fxe6,Nf3,e5,Ng5,Rae8,Rd1,a5,h4,Ne4,Nxe4,b5,h5,g6,Rh1,Rb8,hxg6,hxg6,Ng5,Rf2+,Ka3,b4+,Ka4,Rxa2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,b3,e5,Bb2,Nc6,e4,Nf6,f3,d6,Nc3,Be7,Bc4,O-O,Nd5,Nxd5,Bxd5,Nd4,c3,Nb5,a4,c6,Bc4,Nc7,Ne2,Be6,Bxe6,fxe6,Ng3,d5,h4,dxe4,Nxe4,Bxh4+,Ke2,Bg5,d3,Nd5,Bc1,Nf4+,Bxf4,Bxf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,Nf3,Nf6,b3,e6,Bb2,d5,e3,Be7,c4,c6,d3,Nbd7,Nbd2,O-O,Be2,Re8,O-O,Nf8,Ne5,N8d7,Ndf3,Nxe5,Nxe5,Nd7,f4,Nxe5,fxe5,dxc4,bxc4,Bg5,Rf3,Qb6,Bd4,Bxe3+,Bxe3,Qb2,Qf1,Qxe5,d4,Qc7,Qf2,e5,dxe5,Qxe5,Rf1,Bf5,Rxf5,Qxe3,Rxf7,Qxe2,Rf8+,Rxf8,Qxe2,Rxf1+,Kxf1,Rf8+,Ke1,Kf7,Kd2,Rd8+,Kc3,Rd7,Qf2+,Ke7,Qxa7,h6,Qe3+,Kf7,Qf4+,Ke7,Qe5+,Kf7,Qf5+,Ke7,Qg4,Ke8,a4,Kd8,a5,Kc7,Qg3+,Kc8,Qe5,Rd1,Qxg7,Ra1,Kb4,Rb1+,Kc5,Kb8,Qxh6,Ka7,Qf4,b5,Qc7+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,d5,c4,Bf5,Qb3,Qc8,cxd5,Nf6,Nc3,e5,dxe5,Ng4,Bf4,Nd7,Nf3,Bc5,e3,Bb6,h3,Nh6,Qc4,O-O,g4,Bg6,e6,fxe6,dxe6,Nf6,g5,Nf5,gxf6,Rxf6,Ne4,Rxe6,Neg5,h6,Qxe6+,Qxe6,Nxe6,Kf7,Nxc7,Rc8,Ne5+,Kf6,Nd5+,Ke6,Nxb6,axb6,Nxg6,Kf6,Rg1,Re8,Rd1,Re6,Rd7,Nd4,Rxd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,d5,c4,e5,e3,exd4,exd4,Bb4+,Nc3,Qe7+,Ne2,Bxc3+,bxc3,dxc4,Be3,Nf6,Nf4,Bg4,Be2,O-O,O-O,Nc6,Bxg4,Ne4,Nd5,Qd8,Nf4,Nxc3,Qc2,Nxd4,Qxc3,c5,Rad1,f5,Qxc4+,Kh8,Bxd4,fxg4,Bxg7+,Kxg7,Rxd8,Raxd8,Ne6+,Kf6,Nxf8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,c5,d3,Nc6,c3,d6,d4,Nf6,e5,Nd5,exd6,cxd4,dxe7,Qxe7+,Be2,dxc3,bxc3,Nxc3,Nxc3,Nd4,Qxd4,Bf5,Qa4+,Bd7,Qc2,Qd6,Qe4+,Be7,Qxb7,Rb8,Qxa7,Ba4,Qxa4+,Kf8,Nb5,Qd5,Nc7,Qd6,Qa5,Rd8,Nb5,Qd1+,Bxd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,b6,g3,Bb7,Bg2,Nf6,Ne2,e5,O-O,Bxe4,Bxe4,Nxe4,d3,Nf6,c4,Be7,Nbc3,Bb4,a3,Bxc3,bxc3,O-O,d4,exd4,Nxd4,c5,Nb5,Nc6,h4,Ne5,Bg5,h6,Bxf6,Qxf6,Ra2,d6,Nc7,Rac8,Nd5,Qg6,Re2,Nxc4,Re4,Ne5,Rxe5,dxe5,f4,Rcd8,fxe5,Qe6,Qg4,Qxg4,Ne3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,e6,Nf3,c5,Nc3,Qb6,d4,Nf6,Na4,Qa5+,c3,Nxe4,Bd3,Nf6,dxc5,Qc7,b4,Be7,O-O,O-O,g3,Nc6,Bf4,Qd8,Bd6,b6,Bxe7,Qxe7,cxb6,axb6,Nxb6,Ra3,Nxc8,Rxc8,c4,Nxb4,Qc1,Nxd3,Qxa3,Qxa3,Rfd1,Nc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,g3,c6,a3,Nf6,b4,d5,Bg2,Bf5,Bb2,Nbd7,Nf3,h6,Nd4,e5,Nxf5,d4,Nh4,Nb6,O-O,Nc4,Bc1,e4,d3,exd3,Qxd3,Ne5,Qb3,g5,Nf3,Nxf3+,Bxf3,h5,h3,g4,hxg4,hxg4,Bg2,Nd5,f3,Ne3,Bxe3,dxe3,Qxe3+,Be7,fxg4,Qd6,Qc3,Qh6,Kf2,Rd8,Ke1,Rd6,Rh1,Qc1+,Kf2,Rf6+,Bf3,Rxh1,Nd2,Qxa1,Qe3,Rh2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,e6,Nf3,d5,Nc3,Bb4,Ng5,Qxg5,d4,Qf6,e5,Qe7,a3,Ba5,b4,Bb6,Bb5+,Nc6,Bxc6+,bxc6,O-O,Ba6,Re1,f6,f4,fxe5,fxe5,Qf7,Na4,c5,bxc5,Bb5,Nxb6,cxb6,cxb6,axb6,Rb1,Bc4,Rxb6,Rxa3,Rb8+,Ke7,Bxa3+,Kd7,Rb7+,Kc8,Rxf7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,Nf3,Nc6,d4,d5,Bf4,f6,e3,e5,dxe5,fxe5,Nxe5,Nxe5,Bxe5,Qe7,Bc3,Nf6,Bd3,Bg4,f3,Bh5,Qe2,O-O-O,O-O,Re8,e4,dxe4,Bxe4,Nxe4,Qxe4,Qd7,Qc4,Bf7,Qd4,Bd6,Nd2,Kb8,Ne4,Re6,Nxd6,Rxd6,Qxg7,Rg8,Qxh7,Re6,Rad1,Qe7,Qf5,Re2,g3,Bg6,Qd5,Bf7,Qd7,Qg5,Qxf7,Rxh2,Qf4,Qh5,g4,Rh1+,Kf2,Qh4+,Ke3,Re8+,Be5,Rxf1,Rxf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,Nf6,c4,g6,Nc3,Bg7,Nf3,d6,e4,O-O,Be2,a6,O-O,Bg4,h3,Bxf3,Bxf3,Nbd7,Re1,e5,d5,Nc5,b4,Ncd7,Bg5,Nb6,Qb3,c5,bxc5,dxc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,c6,Nf3,d5,Be2,dxe4,Ng1,Nf6,d3,Bg4,dxe4,Bxe2,e5,Ne4,Qxe2,Nxf2,Qxf2,e6,Nf3,Bc5,Qf1,Bb4+,Bd2,Be7,Kd1,O-O,Nc3,h6,Ke2,Nd7,Be3,Nc5,Rd1,Ne4,Rxd8,Raxd8,Qf2,Nxc3+,bxc3,Bb4,cxb4,Rfe8,c4,Rd7,c5,Red8,Bd4,b6,Bc3,bxc5,Bd4,cxd4,Qxd4,Rxd4,Ke3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,d4,d5,Bf4,Nf6,Nf3,Nc6,e3,Bf5,Bd3,e6,Nbd2,Bb4,c3,Bd6,Bg3,Bxd3,Rc1,Bf5,e4,Bxe4,Nxe4,Nxe4,c4,Bxg3,hxg3,O-O,cxd5,exd5,Qe2,Qf6,g4,Rae8,Kd1,Ng5,Kc2,Rxe2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,c5,Nc3,g6,d4,e6,d5,Qe7,Nb5,d6,Nf3,Bd7,Bg5,f6,Be3,Bxb5,Bxb5+,Nd7,Bxd7+,Qxd7,dxe6,Qxe6,O-O,Bh6,Bxh6,Nxh6,Qd5,Qxd5,exd5,O-O,c4,Rae8,a3,Nf5,b4,Nd4,Nxd4,cxd4,c5,dxc5,bxc5,Re5,c6,bxc6,dxc6,Rc5,Rac1,Rxc1,Rxc1,Rc8,c7,Kf7,Rd1,Rxc7,Rxd4,Ke6,g4,Ke5,Rd8,Kf4,Rd4+,Kf3,h4,g5,h5,Re7,Rd6,Kxg4,Rxf6,Kh3,Rf3+,Kh4,h6,Kh5,Rh3+,Kg6,Kg2,Re4,f3,Rh4,Rxh4,gxh4,Kh3,Kg5,a4,a5,f4+,Kxf4,Kxh4,Ke4,Kg5,Kd4,Kf6,Kc5,Kg7,Kb4,Kxh7,Kxa4,Kg7,Kb4,h7,a4,h8=Q,a3,Qh1,a2,Qa1,Kb3,Kg6,Ka3,Kf5,Kb3,Ke4,Ka3,Kd3,Kb3,Kd2,Ka3,Kc2,Kb4,Qxa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,d4,d5,c4,e6,Nc3,Nf6,cxd5,exd5,Nf3,Bb4,Bg5,h6,Bxf6,Qxf6,e3,O-O,Be2,b6,O-O,Bb7,Nb5,Bd6,Nc3,Nd7,Qc2,Rfe8,Nb5,Ba6,Nxd6,Bxe2,Nxe8,Rxe8,Qxe2,Re6,Qa6,Qg6,Qc8+,Kh7,Qxd7,Rc6,Qxd5,Rd6,Qb7,Qg4,Qxc7,Rg6,Qg3,Qe6,Qb8,Qg4,Rac1,Qxg2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,c4,Nf6,g3,g6,Bg2,Bg7,Nc3,d6,e4,O-O,Nge2,Nbd7,d3,e5,O-O,b6,f4,Bb7,Be3,Re8,Qd2,Rb8,Rf2,Ng4,Rf3,Nxe3,Qxe3,Nc5,Raf1,f5,fxe5,fxe4,Nxe4,Nxe4,dxe4,Bxe5,Nf4,Bxb2,Nxg6,hxg6,Qh6,Bg7,Qxg6,Bxe4,Rf8+,Rxf8,Rxf8+,Qxf8,Qxe4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,e5,Nf3,d6,d4,Bg4,d5,Bxf3,Qxf3,Nf6,Bg5,Be7,Be3,h5,Nc3,Ng4,Bb5+,c6,dxc6,bxc6,Bc4,c5,Qxf7+,Kd7,Qe6+,Ke8,Bb5+,Nd7,Qg6+,Kf8,Bc4,Qe8,Qf5+,Ndf6,Bb5,g6,Qe6,Rb8,Bxe8,Rxe8,h3,Rh7,hxg4,h4,g5,Ng4,Qxg6,Rg7,Qf5+,Rf7,Qxg4,a6,g6,Rg7,Qf5+,Kg8,Bh6,Bf8,Bxg7,Bxg7,Qf7+,Kh8,Qxe8+,Bf8,Qxf8#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,b6,Bf4,Bb7,e3,e6,c3,d6,Nd2,Nd7,h3,Ne7,Ngf3,a6,Be2,h6,Bh2,g5,Qc2,Bg7,O-O-O,Ng6,Ne1,Qe7,Nd3,O-O,f4,Bxg2,Rhg1,Bb7,fxg5,hxg5,Ne4,d5,Rxg5,Nf6,Nxf6+,Qxf6,Rg3,Bc8,Rdg1,Kh7,h4,Nxh4,Nf4+,Ng6,Nxg6,fxg6,Rxg6,Qf5,Bd3,Qxg6,Bxg6+,Kh6,Bd3,Rf7,Be5,Bxe5,dxe5,Rg7,Rxg7,Kxg7,Qg2+,Kf8,e4,Ke7,exd5,exd5,Qxd5,Ra7,e6,Bxe6,Qe5,Ra8,Bf5,Re8,Bxe6,Kf8,Qf6#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,Nf6,Bf4,Nc6,e3,d6,c3,e5,Bg3,Ne4,Bd3,Nxg3,hxg3,exd4,cxd4,Qe7,Rxh7,Rxh7,Bxh7,Nxd4,Qxd4,Qf6,Qxf6,gxf6,Nc3,Bd7,Nf3,O-O-O,e4,Bg7,Bf5,Rh8,Bxd7+,Kxd7,Ke2,Ke6,Nd4+,Ke5,Ke3,c5,f4#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,d4,c5,e4,cxd4,f3,Nc6,Bc4,e6,c3,dxc3,Nxc3,Nf6,Bf4,Bb4,Qb3,Bxc3+,bxc3,O-O,O-O-O,Na5,Qb4,Nxc4,Qxc4,d5,exd5,Nxd5,Qb3,Qa5,c4,Nxf4,Nh3,b5,Nxf4,bxc4,Qxc4,Ba6,Qb3,Rfc8+,Kb1,Rab8,Nxe6,fxe6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,g6,e5,Bg7,d4,d6,f4,dxe5,fxe5,Nc6,Nf3,Bg4,Bb5,Bxf3,Qxf3,Qd7,d5,Bxe5,dxc6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,g3,d5,Bg2,Nf6,d3,h6,e3,Nc6,Ne2,e5,Nd2,Be6,e4,Qd7,O-O,dxe4,dxe4,Bh3,c3,Bxg2,Kxg2,O-O-O,Qa4,Bc5,Nb3,Bb6,Be3,Bxe3,fxe3,h5,Nc5,Qg4,Ng1,h4,Nxb7,hxg3,hxg3,Rd2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,e5,Nf3,Nc6,Bc4,Nf6,Nc3,Bb4,a3,Bc5,b4,Be7,d4,exd4,Nxd4,O-O,Nf3,d6,O-O,Bg4,Bg5,h6,Be3,Re8,Bxh6,gxh6,Nd5,Ne5,Nxf6+,Bxf6,Qd5,Rb8,Nxe5,Be6,Qa5,Bxe5,Bxe6,Rxe6,Rfe1,Qh4,h3,Qf4,Kf1,Rf6,Re2,Qh2,Ke1,Bc3+,Rd2,Qg1+,Ke2,Qxf2+,Kd3,Qd4+,Ke2,Qxd2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,e5,Bc4,c6,d4,Qf6,Qf3,exd4,Nh3,Nh6,Bg5,Qxf3,gxf3,f6,Bxh6,gxh6,Nf4,Rg8,c3,Bc5,Nd2,dxc3,bxc3,Bd6,Ne2,Be5,f4,Rg7,O-O-O,Bd6,Kc2,Bc7,Rhg1,b5,Bb3,Kf8,Rxg7,Kxg7,Rg1+,Kf8,c4,d5,cxb5,Be6,exd5,cxd5,Nf3,Nd7,Nfd4,Bf7,a4,Rc8,Kd3,Bg6+,f5,Bxh2,Rg2,Be5,fxg6,hxg6,Rxg6,h5,Bxd5,Nc5+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,d4,d5,Bf4,f6,e3,g5,Bg3,e5,c3,exd4,exd4,f5,Nd2,f4,Bd3,fxg3,hxg3,g4,Rxh7,Qf6,Qe2+,Ne7,Rxh8,Qxh8,Bg6+,Kd8,Bd3,Qh1,O-O-O,Qxg2,Nb3,Bf5,Bxf5,Nxf5,Qxg4,Nd6,Nc5,Nc4,Ne6+,Ke7,Re1,Qxf2,Nxf8+,Kxf8,Qe2,Qxe2,Rxe2,Nc6,g4,Re8,Rxe8+,Kxe8,g5,Ne7,Nf3,Kf7,Ne5+,Nxe5,dxe5,Kg6,e6,Kxg5,b4,Kf5,a4,Kxe6,Kd2,a6,Kd3,b5,axb5,axb5,Kd4,Nf5+,Kc5,Nd6,Kc6,Ne4,Kxc7,Nxc3,Kc6,d4,Kc5,d3,Kd4,d2,Kxc3,d1=Q,Kb2,Qd4+,Kb3,Kd6,Kc2,Qxb4,Kd3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,e5,Nf3,Nc6,d4,d6,d5,Na5,b4,c6,bxa5,Qxa5+,c3,cxd5,exd5,Be7,a4,Nf6,Bb5+,Bd7,Bxd7+,Nxd7,O-O,O-O,c4,Nf6,Bd2,Qc7,Na3,b6,Rc1,g6,g4,Nxg4,Nxe5,dxe5,Qxg4,f5,Qf3,e4,Qf4,Bd6,Qe3,Qe7,Nb5,Bb8,c5,Qe5,cxb6,Qxh2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,c5,Nf3,Nc6,Bb5,d6,d4,cxd4,Nxd4,Bd7,Nc3,a6,Bc4,Ne5,Bd5,Bc6,Bxc6+,bxc6,Bf4,Nf6,Bxe5,dxe5,Nxc6,Qc7,Nb4,e6,Nd3,Bb4,Nxb4,O-O,O-O,Rfd8,Qe2,Qb6,Rad1,Qxb4,Rxd8+,Rxd8,Qxa6,Qxb2,Qa5,Qb8,h3,h6,Re1,Rc8,Rb1,Qd6,Nb5,Qc5,Rb3,Qxc2,Rc3,Rxc3,Nxc3,Nxe4,Qa8+,Kh7,Qxe4+,Qxe4,Nxe4,Kg8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
